Season,TeamA,TeamB,TradeCount
2010,Milwaukee Bucks,Sacramento Kings,2
2010,Miami Heat,Minnesota Timberwolves,2
2010,Charlotte Hornets,Toronto Raptors,2
2010,Brooklyn Nets,Houston Rockets,2
2010,Brooklyn Nets,Golden State Warriors,2
2010,Houston Rockets,Minnesota Timberwolves,2
2010,Philadelphia 76ers,Charlotte Hornets,1
2010,Portland Trail Blazers,Charlotte Hornets,1
2010,Portland Trail Blazers,Dallas Mavericks,1
2010,Portland Trail Blazers,Denver Nuggets,1
2010,Portland Trail Blazers,Minnesota Timberwolves,1
2010,Milwaukee Bucks,New York Knicks,1
2010,Chicago Bulls,Utah Jazz,1
2010,Chicago Bulls,Toronto Raptors,1
2010,Chicago Bulls,Phoenix Suns,1
2010,Chicago Bulls,Minnesota Timberwolves,1
2010,Chicago Bulls,Golden State Warriors,1
2010,Chicago Bulls,Washington Wizards,1
2010,Cleveland Cavaliers,Boston Celtics,1
2010,Cleveland Cavaliers,Los Angeles Clippers,1
2010,Cleveland Cavaliers,Miami Heat,1
2010,Cleveland Cavaliers,Sacramento Kings,1
2010,Cleveland Cavaliers,Orlando Magic,1
2010,Cleveland Cavaliers,Minnesota Timberwolves,1
2010,Boston Celtics,Sacramento Kings,1
2010,Boston Celtics,Brooklyn Nets,1
2010,Boston Celtics,Oklahoma City Thunder,1
2010,Memphis Grizzlies,Houston Rockets,1
2010,Atlanta Hawks,Phoenix Suns,1
2010,Atlanta Hawks,Washington Wizards,1
2010,Miami Heat,Toronto Raptors,1
2010,Charlotte Hornets,Sacramento Kings,1
2010,Charlotte Hornets,New York Knicks,1
2010,Charlotte Hornets,Brooklyn Nets,1
2010,Charlotte Hornets,Indiana Pacers,1
2010,Charlotte Hornets,Houston Rockets,1
2010,Charlotte Hornets,San Antonio Spurs,1
2010,Charlotte Hornets,Oklahoma City Thunder,1
2010,Utah Jazz,Brooklyn Nets,1
2010,Utah Jazz,Minnesota Timberwolves,1
2010,Sacramento Kings,Houston Rockets,1
2010,New York Knicks,Denver Nuggets,1
2010,New York Knicks,Phoenix Suns,1
2010,New York Knicks,Minnesota Timberwolves,1
2010,New York Knicks,Golden State Warriors,1
2010,Los Angeles Lakers,Brooklyn Nets,1
2010,Los Angeles Lakers,Denver Nuggets,1
2010,Los Angeles Lakers,Houston Rockets,1
2010,Orlando Magic,Phoenix Suns,1
2010,Orlando Magic,Washington Wizards,1
2010,Dallas Mavericks,Denver Nuggets,1
2010,Dallas Mavericks,Toronto Raptors,1
2010,Brooklyn Nets,Indiana Pacers,1
2010,Brooklyn Nets,Minnesota Timberwolves,1
2010,Denver Nuggets,Minnesota Timberwolves,1
2010,Indiana Pacers,Houston Rockets,1
2010,Indiana Pacers,San Antonio Spurs,1
2010,Toronto Raptors,Houston Rockets,1
2010,Toronto Raptors,Phoenix Suns,1
2010,Houston Rockets,Phoenix Suns,1
2010,Phoenix Suns,Washington Wizards,1
2011,Philadelphia 76ers,Memphis Grizzlies,2
2011,Portland Trail Blazers,Brooklyn Nets,2
2011,Memphis Grizzlies,Charlotte Hornets,2
2011,Los Angeles Lakers,Dallas Mavericks,2
2011,Philadelphia 76ers,Miami Heat,1
2011,Philadelphia 76ers,Charlotte Hornets,1
2011,Philadelphia 76ers,Brooklyn Nets,1
2011,Portland Trail Blazers,Houston Rockets,1
2011,Milwaukee Bucks,Boston Celtics,1
2011,Milwaukee Bucks,Houston Rockets,1
2011,Milwaukee Bucks,Golden State Warriors,1
2011,Cleveland Cavaliers,Los Angeles Lakers,1
2011,Cleveland Cavaliers,Dallas Mavericks,1
2011,Boston Celtics,Orlando Magic,1
2011,Los Angeles Clippers,Charlotte Hornets,1
2011,Los Angeles Clippers,Utah Jazz,1
2011,Los Angeles Clippers,Dallas Mavericks,1
2011,Los Angeles Clippers,Denver Nuggets,1
2011,Los Angeles Clippers,Houston Rockets,1
2011,Los Angeles Clippers,Washington Wizards,1
2011,Atlanta Hawks,Golden State Warriors,1
2011,Charlotte Hornets,Washington Wizards,1
2011,Utah Jazz,Dallas Mavericks,1
2011,Utah Jazz,Brooklyn Nets,1
2011,Utah Jazz,Houston Rockets,1
2011,Sacramento Kings,Indiana Pacers,1
2011,New York Knicks,Dallas Mavericks,1
2011,New York Knicks,Washington Wizards,1
2011,Los Angeles Lakers,Houston Rockets,1
2011,Dallas Mavericks,Denver Nuggets,1
2011,Dallas Mavericks,Houston Rockets,1
2011,Dallas Mavericks,Washington Wizards,1
2011,Denver Nuggets,Washington Wizards,1
2011,Indiana Pacers,Toronto Raptors,1
2011,Indiana Pacers,Golden State Warriors,1
2011,Houston Rockets,Minnesota Timberwolves,1
2011,San Antonio Spurs,Golden State Warriors,1
2011,Oklahoma City Thunder,Minnesota Timberwolves,1
2012,Philadelphia 76ers,Golden State Warriors,2
2012,Portland Trail Blazers,Oklahoma City Thunder,2
2012,Cleveland Cavaliers,Memphis Grizzlies,2
2012,Atlanta Hawks,Utah Jazz,2
2012,Atlanta Hawks,Dallas Mavericks,2
2012,Charlotte Hornets,Minnesota Timberwolves,2
2012,Philadelphia 76ers,Milwaukee Bucks,1
2012,Philadelphia 76ers,Charlotte Hornets,1
2012,Philadelphia 76ers,Los Angeles Lakers,1
2012,Philadelphia 76ers,Orlando Magic,1
2012,Philadelphia 76ers,Dallas Mavericks,1
2012,Philadelphia 76ers,Denver Nuggets,1
2012,Philadelphia 76ers,Washington Wizards,1
2012,Portland Trail Blazers,Cleveland Cavaliers,1
2012,Portland Trail Blazers,Boston Celtics,1
2012,Portland Trail Blazers,New York Knicks,1
2012,Portland Trail Blazers,Houston Rockets,1
2012,Milwaukee Bucks,Orlando Magic,1
2012,Chicago Bulls,Atlanta Hawks,1
2012,Boston Celtics,Dallas Mavericks,1
2012,Boston Celtics,Indiana Pacers,1
2012,Boston Celtics,Houston Rockets,1
2012,Boston Celtics,Washington Wizards,1
2012,Los Angeles Clippers,Atlanta Hawks,1
2012,Los Angeles Clippers,Brooklyn Nets,1
2012,Memphis Grizzlies,Miami Heat,1
2012,Memphis Grizzlies,Denver Nuggets,1
2012,Memphis Grizzlies,Detroit Pistons,1
2012,Memphis Grizzlies,Toronto Raptors,1
2012,Memphis Grizzlies,Minnesota Timberwolves,1
2012,Atlanta Hawks,Miami Heat,1
2012,Atlanta Hawks,Brooklyn Nets,1
2012,Atlanta Hawks,Golden State Warriors,1
2012,Charlotte Hornets,Orlando Magic,1
2012,Charlotte Hornets,Phoenix Suns,1
2012,Charlotte Hornets,Golden State Warriors,1
2012,Utah Jazz,Denver Nuggets,1
2012,Utah Jazz,Minnesota Timberwolves,1
2012,Sacramento Kings,Toronto Raptors,1
2012,Sacramento Kings,Houston Rockets,1
2012,New York Knicks,Houston Rockets,1
2012,New York Knicks,Oklahoma City Thunder,1
2012,Los Angeles Lakers,Orlando Magic,1
2012,Los Angeles Lakers,Denver Nuggets,1
2012,Los Angeles Lakers,Phoenix Suns,1
2012,Orlando Magic,Denver Nuggets,1
2012,Dallas Mavericks,Indiana Pacers,1
2012,Detroit Pistons,Toronto Raptors,1
2012,Toronto Raptors,Houston Rockets,1
2012,Toronto Raptors,Phoenix Suns,1
2012,Houston Rockets,Phoenix Suns,1
2012,Houston Rockets,Oklahoma City Thunder,1
2012,Phoenix Suns,Minnesota Timberwolves,1
2012,Phoenix Suns,Golden State Warriors,1
2012,Oklahoma City Thunder,Golden State Warriors,1
2012,Minnesota Timberwolves,Golden State Warriors,1
2013,Philadelphia 76ers,New Orleans Pelicans,2
2013,Milwaukee Bucks,Phoenix Suns,2
2013,Boston Celtics,Memphis Grizzlies,2
2013,Philadelphia 76ers,Cleveland Cavaliers,1
2013,Philadelphia 76ers,Los Angeles Clippers,1
2013,Philadelphia 76ers,Memphis Grizzlies,1
2013,Philadelphia 76ers,Orlando Magic,1
2013,Philadelphia 76ers,Brooklyn Nets,1
2013,Philadelphia 76ers,Denver Nuggets,1
2013,Philadelphia 76ers,Indiana Pacers,1
2013,Philadelphia 76ers,Houston Rockets,1
2013,Philadelphia 76ers,San Antonio Spurs,1
2013,Philadelphia 76ers,Washington Wizards,1
2013,Portland Trail Blazers,Sacramento Kings,1
2013,Portland Trail Blazers,New Orleans Pelicans,1
2013,Portland Trail Blazers,Houston Rockets,1
2013,Milwaukee Bucks,Los Angeles Clippers,1
2013,Milwaukee Bucks,Atlanta Hawks,1
2013,Milwaukee Bucks,Sacramento Kings,1
2013,Milwaukee Bucks,Detroit Pistons,1
2013,Milwaukee Bucks,Oklahoma City Thunder,1
2013,Milwaukee Bucks,Minnesota Timberwolves,1
2013,Chicago Bulls,Cleveland Cavaliers,1
2013,Chicago Bulls,Brooklyn Nets,1
2013,Chicago Bulls,Denver Nuggets,1
2013,Boston Celtics,Miami Heat,1
2013,Boston Celtics,Brooklyn Nets,1
2013,Boston Celtics,Oklahoma City Thunder,1
2013,Boston Celtics,Golden State Warriors,1
2013,Los Angeles Clippers,Atlanta Hawks,1
2013,Los Angeles Clippers,Phoenix Suns,1
2013,Memphis Grizzlies,Utah Jazz,1
2013,Memphis Grizzlies,Dallas Mavericks,1
2013,Memphis Grizzlies,Oklahoma City Thunder,1
2013,Atlanta Hawks,Toronto Raptors,1
2013,Miami Heat,Charlotte Hornets,1
2013,Miami Heat,Sacramento Kings,1
2013,Miami Heat,Golden State Warriors,1
2013,Charlotte Hornets,Oklahoma City Thunder,1
2013,Utah Jazz,Denver Nuggets,1
2013,Utah Jazz,Golden State Warriors,1
2013,Sacramento Kings,Brooklyn Nets,1
2013,Sacramento Kings,New Orleans Pelicans,1
2013,Sacramento Kings,Toronto Raptors,1
2013,Sacramento Kings,Minnesota Timberwolves,1
2013,New York Knicks,Dallas Mavericks,1
2013,New York Knicks,Indiana Pacers,1
2013,New York Knicks,Toronto Raptors,1
2013,Los Angeles Lakers,Golden State Warriors,1
2013,Los Angeles Lakers,Washington Wizards,1
2013,Orlando Magic,Denver Nuggets,1
2013,Brooklyn Nets,New Orleans Pelicans,1
2013,Brooklyn Nets,Toronto Raptors,1
2013,Brooklyn Nets,Minnesota Timberwolves,1
2013,Denver Nuggets,Houston Rockets,1
2013,Denver Nuggets,Golden State Warriors,1
2013,Denver Nuggets,Washington Wizards,1
2013,Indiana Pacers,Phoenix Suns,1
2013,Toronto Raptors,San Antonio Spurs,1
2013,Houston Rockets,Minnesota Timberwolves,1
2013,Phoenix Suns,Washington Wizards,1
2013,Oklahoma City Thunder,Minnesota Timberwolves,1
2014,Boston Celtics,Phoenix Suns,3
2014,Philadelphia 76ers,Cleveland Cavaliers,2
2014,Philadelphia 76ers,New York Knicks,2
2014,Philadelphia 76ers,Brooklyn Nets,2
2014,Philadelphia 76ers,Houston Rockets,2
2014,Philadelphia 76ers,Minnesota Timberwolves,2
2014,Cleveland Cavaliers,Boston Celtics,2
2014,Cleveland Cavaliers,Minnesota Timberwolves,2
2014,Boston Celtics,Detroit Pistons,2
2014,Philadelphia 76ers,Milwaukee Bucks,1
2014,Philadelphia 76ers,Los Angeles Clippers,1
2014,Philadelphia 76ers,Denver Nuggets,1
2014,Philadelphia 76ers,Phoenix Suns,1
2014,Philadelphia 76ers,Oklahoma City Thunder,1
2014,Portland Trail Blazers,Charlotte Hornets,1
2014,Portland Trail Blazers,Utah Jazz,1
2014,Portland Trail Blazers,Brooklyn Nets,1
2014,Portland Trail Blazers,Denver Nuggets,1
2014,Milwaukee Bucks,Los Angeles Clippers,1
2014,Milwaukee Bucks,Detroit Pistons,1
2014,Milwaukee Bucks,Toronto Raptors,1
2014,Milwaukee Bucks,Phoenix Suns,1
2014,Chicago Bulls,Orlando Magic,1
2014,Chicago Bulls,Dallas Mavericks,1
2014,Cleveland Cavaliers,Charlotte Hornets,1
2014,Cleveland Cavaliers,Utah Jazz,1
2014,Cleveland Cavaliers,New York Knicks,1
2014,Cleveland Cavaliers,Brooklyn Nets,1
2014,Cleveland Cavaliers,Denver Nuggets,1
2014,Cleveland Cavaliers,New Orleans Pelicans,1
2014,Cleveland Cavaliers,Oklahoma City Thunder,1
2014,Boston Celtics,Los Angeles Clippers,1
2014,Boston Celtics,Memphis Grizzlies,1
2014,Boston Celtics,Dallas Mavericks,1
2014,Boston Celtics,Brooklyn Nets,1
2014,Boston Celtics,Denver Nuggets,1
2014,Boston Celtics,New Orleans Pelicans,1
2014,Boston Celtics,Washington Wizards,1
2014,Los Angeles Clippers,Charlotte Hornets,1
2014,Los Angeles Clippers,New Orleans Pelicans,1
2014,Los Angeles Clippers,Phoenix Suns,1
2014,Memphis Grizzlies,Charlotte Hornets,1
2014,Memphis Grizzlies,Orlando Magic,1
2014,Memphis Grizzlies,New Orleans Pelicans,1
2014,Memphis Grizzlies,Phoenix Suns,1
2014,Atlanta Hawks,New York Knicks,1
2014,Atlanta Hawks,Oklahoma City Thunder,1
2014,Atlanta Hawks,Minnesota Timberwolves,1
2014,Atlanta Hawks,Washington Wizards,1
2014,Miami Heat,New Orleans Pelicans,1
2014,Miami Heat,Phoenix Suns,1
2014,Charlotte Hornets,Brooklyn Nets,1
2014,Charlotte Hornets,New Orleans Pelicans,1
2014,Charlotte Hornets,Oklahoma City Thunder,1
2014,Charlotte Hornets,Minnesota Timberwolves,1
2014,Utah Jazz,Detroit Pistons,1
2014,Utah Jazz,Toronto Raptors,1
2014,Utah Jazz,Oklahoma City Thunder,1
2014,Sacramento Kings,New York Knicks,1
2014,Sacramento Kings,Houston Rockets,1
2014,Sacramento Kings,Phoenix Suns,1
2014,Sacramento Kings,Washington Wizards,1
2014,New York Knicks,Houston Rockets,1
2014,New York Knicks,Oklahoma City Thunder,1
2014,New York Knicks,Washington Wizards,1
2014,Los Angeles Lakers,Houston Rockets,1
2014,Dallas Mavericks,Washington Wizards,1
2014,Brooklyn Nets,Minnesota Timberwolves,1
2014,New Orleans Pelicans,Houston Rockets,1
2014,New Orleans Pelicans,Phoenix Suns,1
2014,New Orleans Pelicans,Oklahoma City Thunder,1
2014,New Orleans Pelicans,Washington Wizards,1
2014,Detroit Pistons,Phoenix Suns,1
2014,Detroit Pistons,Oklahoma City Thunder,1
2014,Toronto Raptors,Oklahoma City Thunder,1
2014,Houston Rockets,Minnesota Timberwolves,1
2014,Houston Rockets,Washington Wizards,1
2015,Portland Trail Blazers,Orlando Magic,3
2015,Portland Trail Blazers,Cleveland Cavaliers,2
2015,Cleveland Cavaliers,Orlando Magic,2
2015,Memphis Grizzlies,Miami Heat,2
2015,Orlando Magic,Detroit Pistons,2
2015,Denver Nuggets,Oklahoma City Thunder,2
2015,Philadelphia 76ers,Sacramento Kings,1
2015,Philadelphia 76ers,New Orleans Pelicans,1
2015,Philadelphia 76ers,Golden State Warriors,1
2015,Portland Trail Blazers,Miami Heat,1
2015,Milwaukee Bucks,Dallas Mavericks,1
2015,Milwaukee Bucks,Golden State Warriors,1
2015,Milwaukee Bucks,Washington Wizards,1
2015,Chicago Bulls,Atlanta Hawks,1
2015,Chicago Bulls,Utah Jazz,1
2015,Chicago Bulls,New York Knicks,1
2015,Chicago Bulls,Detroit Pistons,1
2015,Cleveland Cavaliers,Atlanta Hawks,1
2015,Cleveland Cavaliers,Indiana Pacers,1
2015,Boston Celtics,Memphis Grizzlies,1
2015,Boston Celtics,Miami Heat,1
2015,Boston Celtics,Oklahoma City Thunder,1
2015,Boston Celtics,Golden State Warriors,1
2015,Los Angeles Clippers,Memphis Grizzlies,1
2015,Los Angeles Clippers,New Orleans Pelicans,1
2015,Los Angeles Clippers,Houston Rockets,1
2015,Memphis Grizzlies,Charlotte Hornets,1
2015,Atlanta Hawks,Utah Jazz,1
2015,Atlanta Hawks,San Antonio Spurs,1
2015,Miami Heat,Charlotte Hornets,1
2015,Miami Heat,Orlando Magic,1
2015,Miami Heat,New Orleans Pelicans,1
2015,Utah Jazz,Brooklyn Nets,1
2015,Sacramento Kings,San Antonio Spurs,1
2015,Sacramento Kings,Phoenix Suns,1
2015,New York Knicks,Orlando Magic,1
2015,Los Angeles Lakers,Indiana Pacers,1
2015,Orlando Magic,Oklahoma City Thunder,1
2015,Brooklyn Nets,Detroit Pistons,1
2015,Denver Nuggets,Houston Rockets,1
2015,Indiana Pacers,Minnesota Timberwolves,1
2015,Detroit Pistons,Phoenix Suns,1
2015,Phoenix Suns,Washington Wizards,1
2016,Los Angeles Lakers,Houston Rockets,2
2016,Dallas Mavericks,Houston Rockets,2
2016,Philadelphia 76ers,Cleveland Cavaliers,1
2016,Philadelphia 76ers,Boston Celtics,1
2016,Philadelphia 76ers,Atlanta Hawks,1
2016,Philadelphia 76ers,Utah Jazz,1
2016,Philadelphia 76ers,Orlando Magic,1
2016,Philadelphia 76ers,Dallas Mavericks,1
2016,Philadelphia 76ers,Houston Rockets,1
2016,Philadelphia 76ers,Oklahoma City Thunder,1
2016,Portland Trail Blazers,Cleveland Cavaliers,1
2016,Portland Trail Blazers,Sacramento Kings,1
2016,Portland Trail Blazers,Orlando Magic,1
2016,Portland Trail Blazers,Denver Nuggets,1
2016,Portland Trail Blazers,Houston Rockets,1
2016,Milwaukee Bucks,Chicago Bulls,1
2016,Milwaukee Bucks,Cleveland Cavaliers,1
2016,Milwaukee Bucks,Los Angeles Clippers,1
2016,Milwaukee Bucks,Charlotte Hornets,1
2016,Milwaukee Bucks,Denver Nuggets,1
2016,Milwaukee Bucks,Houston Rockets,1
2016,Chicago Bulls,Cleveland Cavaliers,1
2016,Chicago Bulls,Los Angeles Lakers,1
2016,Chicago Bulls,Oklahoma City Thunder,1
2016,Chicago Bulls,Minnesota Timberwolves,1
2016,Chicago Bulls,Golden State Warriors,1
2016,Cleveland Cavaliers,Atlanta Hawks,1
2016,Cleveland Cavaliers,Charlotte Hornets,1
2016,Los Angeles Clippers,Orlando Magic,1
2016,Los Angeles Clippers,Houston Rockets,1
2016,Memphis Grizzlies,Charlotte Hornets,1
2016,Memphis Grizzlies,Orlando Magic,1
2016,Memphis Grizzlies,Houston Rockets,1
2016,Atlanta Hawks,Charlotte Hornets,1
2016,Atlanta Hawks,Utah Jazz,1
2016,Atlanta Hawks,Denver Nuggets,1
2016,Atlanta Hawks,Indiana Pacers,1
2016,Atlanta Hawks,Houston Rockets,1
2016,Atlanta Hawks,Phoenix Suns,1
2016,Miami Heat,New Orleans Pelicans,1
2016,Charlotte Hornets,Sacramento Kings,1
2016,Charlotte Hornets,New Orleans Pelicans,1
2016,Utah Jazz,Los Angeles Lakers,1
2016,Utah Jazz,Denver Nuggets,1
2016,Utah Jazz,Indiana Pacers,1
2016,Utah Jazz,San Antonio Spurs,1
2016,Utah Jazz,Minnesota Timberwolves,1
2016,Utah Jazz,Washington Wizards,1
2016,Sacramento Kings,New Orleans Pelicans,1
2016,Los Angeles Lakers,Brooklyn Nets,1
2016,Orlando Magic,Toronto Raptors,1
2016,Dallas Mavericks,Indiana Pacers,1
2016,Dallas Mavericks,Golden State Warriors,1
2016,Brooklyn Nets,Indiana Pacers,1
2016,Brooklyn Nets,Houston Rockets,1
2016,Brooklyn Nets,Washington Wizards,1
2016,Denver Nuggets,Oklahoma City Thunder,1
2016,Indiana Pacers,New Orleans Pelicans,1
2016,New Orleans Pelicans,Washington Wizards,1
2016,Detroit Pistons,Houston Rockets,1
2016,Toronto Raptors,Phoenix Suns,1
2017,Chicago Bulls,New Orleans Pelicans,2
2017,Los Angeles Clippers,Atlanta Hawks,2
2017,Philadelphia 76ers,Milwaukee Bucks,1
2017,Philadelphia 76ers,Los Angeles Clippers,1
2017,Philadelphia 76ers,Dallas Mavericks,1
2017,Philadelphia 76ers,Brooklyn Nets,1
2017,Philadelphia 76ers,Detroit Pistons,1
2017,Philadelphia 76ers,Phoenix Suns,1
2017,Portland Trail Blazers,Chicago Bulls,1
2017,Portland Trail Blazers,Sacramento Kings,1
2017,Portland Trail Blazers,Brooklyn Nets,1
2017,Milwaukee Bucks,Brooklyn Nets,1
2017,Milwaukee Bucks,Phoenix Suns,1
2017,Chicago Bulls,Detroit Pistons,1
2017,Cleveland Cavaliers,Boston Celtics,1
2017,Cleveland Cavaliers,Atlanta Hawks,1
2017,Cleveland Cavaliers,Miami Heat,1
2017,Cleveland Cavaliers,Utah Jazz,1
2017,Cleveland Cavaliers,Sacramento Kings,1
2017,Cleveland Cavaliers,Los Angeles Lakers,1
2017,Boston Celtics,Detroit Pistons,1
2017,Los Angeles Clippers,Charlotte Hornets,1
2017,Los Angeles Clippers,Denver Nuggets,1
2017,Los Angeles Clippers,Detroit Pistons,1
2017,Los Angeles Clippers,Washington Wizards,1
2017,Memphis Grizzlies,Detroit Pistons,1
2017,Memphis Grizzlies,Phoenix Suns,1
2017,Atlanta Hawks,Miami Heat,1
2017,Atlanta Hawks,Charlotte Hornets,1
2017,Atlanta Hawks,Dallas Mavericks,1
2017,Atlanta Hawks,Denver Nuggets,1
2017,Atlanta Hawks,Washington Wizards,1
2017,Miami Heat,Dallas Mavericks,1
2017,Charlotte Hornets,New York Knicks,1
2017,Utah Jazz,Sacramento Kings,1
2017,Utah Jazz,Houston Rockets,1
2017,Sacramento Kings,Toronto Raptors,1
2017,New York Knicks,Dallas Mavericks,1
2017,New York Knicks,Denver Nuggets,1
2017,New York Knicks,Oklahoma City Thunder,1
2017,Orlando Magic,Denver Nuggets,1
2017,Orlando Magic,Phoenix Suns,1
2017,Dallas Mavericks,Denver Nuggets,1
2017,Brooklyn Nets,New Orleans Pelicans,1
2017,Brooklyn Nets,Toronto Raptors,1
2017,Indiana Pacers,Toronto Raptors,1
2017,Indiana Pacers,Oklahoma City Thunder,1
2018,Milwaukee Bucks,Detroit Pistons,2
2018,Milwaukee Bucks,Washington Wizards,2
2018,Chicago Bulls,Houston Rockets,2
2018,Philadelphia 76ers,Boston Celtics,1
2018,Philadelphia 76ers,Los Angeles Clippers,1
2018,Philadelphia 76ers,Atlanta Hawks,1
2018,Philadelphia 76ers,Los Angeles Lakers,1
2018,Philadelphia 76ers,Orlando Magic,1
2018,Philadelphia 76ers,Denver Nuggets,1
2018,Philadelphia 76ers,Toronto Raptors,1
2018,Philadelphia 76ers,Houston Rockets,1
2018,Philadelphia 76ers,Phoenix Suns,1
2018,Philadelphia 76ers,Oklahoma City Thunder,1
2018,Philadelphia 76ers,Minnesota Timberwolves,1
2018,Philadelphia 76ers,Washington Wizards,1
2018,Portland Trail Blazers,Cleveland Cavaliers,1
2018,Portland Trail Blazers,Atlanta Hawks,1
2018,Portland Trail Blazers,Sacramento Kings,1
2018,Milwaukee Bucks,Cleveland Cavaliers,1
2018,Milwaukee Bucks,New Orleans Pelicans,1
2018,Chicago Bulls,Memphis Grizzlies,1
2018,Chicago Bulls,Charlotte Hornets,1
2018,Chicago Bulls,Orlando Magic,1
2018,Chicago Bulls,Oklahoma City Thunder,1
2018,Chicago Bulls,Washington Wizards,1
2018,Cleveland Cavaliers,Los Angeles Clippers,1
2018,Cleveland Cavaliers,Utah Jazz,1
2018,Cleveland Cavaliers,Sacramento Kings,1
2018,Cleveland Cavaliers,Detroit Pistons,1
2018,Cleveland Cavaliers,Houston Rockets,1
2018,Cleveland Cavaliers,Washington Wizards,1
2018,Boston Celtics,Atlanta Hawks,1
2018,Boston Celtics,Oklahoma City Thunder,1
2018,Los Angeles Clippers,Memphis Grizzlies,1
2018,Los Angeles Clippers,Los Angeles Lakers,1
2018,Los Angeles Clippers,Dallas Mavericks,1
2018,Los Angeles Clippers,Brooklyn Nets,1
2018,Los Angeles Clippers,New Orleans Pelicans,1
2018,Memphis Grizzlies,Atlanta Hawks,1
2018,Memphis Grizzlies,Sacramento Kings,1
2018,Memphis Grizzlies,Orlando Magic,1
2018,Memphis Grizzlies,Toronto Raptors,1
2018,Atlanta Hawks,Miami Heat,1
2018,Atlanta Hawks,Brooklyn Nets,1
2018,Atlanta Hawks,Oklahoma City Thunder,1
2018,Atlanta Hawks,Golden State Warriors,1
2018,Miami Heat,Denver Nuggets,1
2018,Miami Heat,Phoenix Suns,1
2018,Charlotte Hornets,Orlando Magic,1
2018,Charlotte Hornets,Brooklyn Nets,1
2018,Charlotte Hornets,Oklahoma City Thunder,1
2018,Utah Jazz,Indiana Pacers,1
2018,Utah Jazz,Golden State Warriors,1
2018,Sacramento Kings,New York Knicks,1
2018,Sacramento Kings,Dallas Mavericks,1
2018,Sacramento Kings,Houston Rockets,1
2018,New York Knicks,Dallas Mavericks,1
2018,Los Angeles Lakers,Orlando Magic,1
2018,Los Angeles Lakers,Detroit Pistons,1
2018,Orlando Magic,Oklahoma City Thunder,1
2018,Dallas Mavericks,Detroit Pistons,1
2018,Dallas Mavericks,Houston Rockets,1
2018,Brooklyn Nets,Denver Nuggets,1
2018,Brooklyn Nets,Toronto Raptors,1
2018,Brooklyn Nets,Phoenix Suns,1
