Season,TeamA,TeamB,TradeCount
2018,Indiana Pacers,Houston Rockets,1
2018,Indiana Pacers,Golden State Warriors,1
2018,New Orleans Pelicans,Detroit Pistons,1
2018,New Orleans Pelicans,Golden State Warriors,1
2018,New Orleans Pelicans,Washington Wizards,1
2018,Toronto Raptors,San Antonio Spurs,1
2018,Houston Rockets,Phoenix Suns,1
2018,Phoenix Suns,Washington Wizards,1
2019,Atlanta Hawks,Minnesota Timberwolves,2
2019,Minnesota Timberwolves,Golden State Warriors,2
2019,Philadelphia 76ers,Portland Trail Blazers,1
2019,Philadelphia 76ers,Los Angeles Clippers,1
2019,Philadelphia 76ers,Atlanta Hawks,1
2019,Philadelphia 76ers,Miami Heat,1
2019,Philadelphia 76ers,Orlando Magic,1
2019,Philadelphia 76ers,Detroit Pistons,1
2019,Philadelphia 76ers,Golden State Warriors,1
2019,Portland Trail Blazers,Los Angeles Clippers,1
2019,Portland Trail Blazers,Atlanta Hawks,1
2019,Portland Trail Blazers,Miami Heat,1
2019,Portland Trail Blazers,Sacramento Kings,1
2019,Portland Trail Blazers,Minnesota Timberwolves,1
2019,Milwaukee Bucks,Indiana Pacers,1
2019,Chicago Bulls,Washington Wizards,1
2019,Cleveland Cavaliers,Utah Jazz,1
2019,Cleveland Cavaliers,Detroit Pistons,1
2019,Boston Celtics,Charlotte Hornets,1
2019,Boston Celtics,Phoenix Suns,1
2019,Los Angeles Clippers,Atlanta Hawks,1
2019,Los Angeles Clippers,Miami Heat,1
2019,Los Angeles Clippers,New York Knicks,1
2019,Los Angeles Clippers,Oklahoma City Thunder,1
2019,Los Angeles Clippers,Washington Wizards,1
2019,Memphis Grizzlies,Atlanta Hawks,1
2019,Memphis Grizzlies,Miami Heat,1
2019,Memphis Grizzlies,Utah Jazz,1
2019,Memphis Grizzlies,Dallas Mavericks,1
2019,Memphis Grizzlies,Houston Rockets,1
2019,Memphis Grizzlies,Phoenix Suns,1
2019,Memphis Grizzlies,Oklahoma City Thunder,1
2019,Memphis Grizzlies,Minnesota Timberwolves,1
2019,Memphis Grizzlies,Golden State Warriors,1
2019,Memphis Grizzlies,Washington Wizards,1
2019,Atlanta Hawks,Sacramento Kings,1
2019,Atlanta Hawks,Brooklyn Nets,1
2019,Atlanta Hawks,Denver Nuggets,1
2019,Atlanta Hawks,New Orleans Pelicans,1
2019,Atlanta Hawks,Houston Rockets,1
2019,Atlanta Hawks,Golden State Warriors,1
2019,Miami Heat,Indiana Pacers,1
2019,Miami Heat,Phoenix Suns,1
2019,Miami Heat,Minnesota Timberwolves,1
2019,Utah Jazz,New Orleans Pelicans,1
2019,New York Knicks,Washington Wizards,1
2019,Los Angeles Lakers,New Orleans Pelicans,1
2019,Los Angeles Lakers,Washington Wizards,1
2019,Dallas Mavericks,Oklahoma City Thunder,1
2019,Dallas Mavericks,Golden State Warriors,1
2019,Brooklyn Nets,San Antonio Spurs,1
2019,Brooklyn Nets,Golden State Warriors,1
2019,Brooklyn Nets,Washington Wizards,1
2019,Denver Nuggets,Houston Rockets,1
2019,Denver Nuggets,Oklahoma City Thunder,1
2019,Denver Nuggets,Minnesota Timberwolves,1
2019,Denver Nuggets,Washington Wizards,1
2019,Indiana Pacers,Phoenix Suns,1
2019,New Orleans Pelicans,Washington Wizards,1
2019,Houston Rockets,Oklahoma City Thunder,1
2019,Houston Rockets,Minnesota Timberwolves,1
2019,San Antonio Spurs,Washington Wizards,1
2019,Phoenix Suns,Minnesota Timberwolves,1
2020,Philadelphia 76ers,Oklahoma City Thunder,2
2020,Cleveland Cavaliers,Houston Rockets,2
2020,Boston Celtics,Oklahoma City Thunder,2
2020,Utah Jazz,New York Knicks,2
2020,New York Knicks,Oklahoma City Thunder,2
2020,New York Knicks,Minnesota Timberwolves,2
2020,Detroit Pistons,Oklahoma City Thunder,2
2020,Philadelphia 76ers,New York Knicks,1
2020,Philadelphia 76ers,Dallas Mavericks,1
2020,Philadelphia 76ers,Detroit Pistons,1
2020,Portland Trail Blazers,Boston Celtics,1
2020,Portland Trail Blazers,Memphis Grizzlies,1
2020,Portland Trail Blazers,Toronto Raptors,1
2020,Portland Trail Blazers,Houston Rockets,1
2020,Milwaukee Bucks,Cleveland Cavaliers,1
2020,Milwaukee Bucks,Orlando Magic,1
2020,Milwaukee Bucks,Denver Nuggets,1
2020,Milwaukee Bucks,New Orleans Pelicans,1
2020,Milwaukee Bucks,Houston Rockets,1
2020,Milwaukee Bucks,Phoenix Suns,1
2020,Milwaukee Bucks,Oklahoma City Thunder,1
2020,Chicago Bulls,Boston Celtics,1
2020,Chicago Bulls,Orlando Magic,1
2020,Chicago Bulls,Washington Wizards,1
2020,Cleveland Cavaliers,Utah Jazz,1
2020,Cleveland Cavaliers,Los Angeles Lakers,1
2020,Cleveland Cavaliers,Brooklyn Nets,1
2020,Cleveland Cavaliers,Denver Nuggets,1
2020,Cleveland Cavaliers,Indiana Pacers,1
2020,Boston Celtics,Memphis Grizzlies,1
2020,Boston Celtics,Charlotte Hornets,1
2020,Boston Celtics,Orlando Magic,1
2020,Boston Celtics,Washington Wizards,1
2020,Los Angeles Clippers,Atlanta Hawks,1
2020,Los Angeles Clippers,Sacramento Kings,1
2020,Los Angeles Clippers,Brooklyn Nets,1
2020,Los Angeles Clippers,Detroit Pistons,1
2020,Los Angeles Clippers,Minnesota Timberwolves,1
2020,Memphis Grizzlies,Sacramento Kings,1
2020,Atlanta Hawks,Detroit Pistons,1
2020,Atlanta Hawks,Oklahoma City Thunder,1
2020,Miami Heat,Sacramento Kings,1
2020,Miami Heat,Houston Rockets,1
2020,Miami Heat,Oklahoma City Thunder,1
2020,Charlotte Hornets,New Orleans Pelicans,1
2020,Charlotte Hornets,Golden State Warriors,1
2020,Utah Jazz,New Orleans Pelicans,1
2020,Utah Jazz,Detroit Pistons,1
2020,Utah Jazz,Toronto Raptors,1
2020,Sacramento Kings,Detroit Pistons,1
2020,Sacramento Kings,Toronto Raptors,1
2020,Sacramento Kings,Houston Rockets,1
2020,New York Knicks,Detroit Pistons,1
2020,New York Knicks,Houston Rockets,1
2020,Los Angeles Lakers,Oklahoma City Thunder,1
2020,Orlando Magic,Denver Nuggets,1
2020,Dallas Mavericks,New Orleans Pelicans,1
2020,Dallas Mavericks,Detroit Pistons,1
2020,Dallas Mavericks,Oklahoma City Thunder,1
2020,Brooklyn Nets,Indiana Pacers,1
2020,Brooklyn Nets,Detroit Pistons,1
2020,Brooklyn Nets,Houston Rockets,1
2020,Denver Nuggets,New Orleans Pelicans,1
2020,Denver Nuggets,Detroit Pistons,1
2020,Denver Nuggets,Oklahoma City Thunder,1
2020,Indiana Pacers,Houston Rockets,1
2020,Indiana Pacers,Oklahoma City Thunder,1
2020,New Orleans Pelicans,Oklahoma City Thunder,1
2020,Detroit Pistons,Houston Rockets,1
2020,Houston Rockets,Washington Wizards,1
2020,San Antonio Spurs,Golden State Warriors,1
2020,Phoenix Suns,Oklahoma City Thunder,1
2020,Oklahoma City Thunder,Minnesota Timberwolves,1
2020,Oklahoma City Thunder,Golden State Warriors,1
2020,Oklahoma City Thunder,Washington Wizards,1
2021,Portland Trail Blazers,New Orleans Pelicans,2
2021,Milwaukee Bucks,Indiana Pacers,2
2021,Boston Celtics,San Antonio Spurs,2
2021,Memphis Grizzlies,Minnesota Timberwolves,2
2021,Charlotte Hornets,New York Knicks,2
2021,Utah Jazz,Oklahoma City Thunder,2
2021,New York Knicks,Oklahoma City Thunder,2
2021,Brooklyn Nets,Indiana Pacers,2
2021,Indiana Pacers,San Antonio Spurs,2
2021,Philadelphia 76ers,Memphis Grizzlies,1
2021,Philadelphia 76ers,Brooklyn Nets,1
2021,Philadelphia 76ers,New Orleans Pelicans,1
2021,Portland Trail Blazers,Chicago Bulls,1
2021,Portland Trail Blazers,Cleveland Cavaliers,1
2021,Portland Trail Blazers,Los Angeles Clippers,1
2021,Portland Trail Blazers,Utah Jazz,1
2021,Portland Trail Blazers,San Antonio Spurs,1
2021,Milwaukee Bucks,Los Angeles Clippers,1
2021,Milwaukee Bucks,Memphis Grizzlies,1
2021,Milwaukee Bucks,Sacramento Kings,1
2021,Milwaukee Bucks,Detroit Pistons,1
2021,Chicago Bulls,Cleveland Cavaliers,1
2021,Chicago Bulls,New Orleans Pelicans,1
2021,Chicago Bulls,Houston Rockets,1
2021,Chicago Bulls,San Antonio Spurs,1
2021,Cleveland Cavaliers,Sacramento Kings,1
2021,Cleveland Cavaliers,New York Knicks,1
2021,Cleveland Cavaliers,Los Angeles Lakers,1
2021,Cleveland Cavaliers,Indiana Pacers,1
2021,Cleveland Cavaliers,Minnesota Timberwolves,1
2021,Boston Celtics,Memphis Grizzlies,1
2021,Boston Celtics,Atlanta Hawks,1
2021,Boston Celtics,Sacramento Kings,1
2021,Boston Celtics,New York Knicks,1
2021,Boston Celtics,Orlando Magic,1
2021,Boston Celtics,Dallas Mavericks,1
2021,Boston Celtics,Denver Nuggets,1
2021,Boston Celtics,Houston Rockets,1
2021,Los Angeles Clippers,Memphis Grizzlies,1
2021,Los Angeles Clippers,Sacramento Kings,1
2021,Los Angeles Clippers,New York Knicks,1
2021,Los Angeles Clippers,Orlando Magic,1
2021,Los Angeles Clippers,New Orleans Pelicans,1
2021,Los Angeles Clippers,Detroit Pistons,1
2021,Memphis Grizzlies,Charlotte Hornets,1
2021,Memphis Grizzlies,Utah Jazz,1
2021,Memphis Grizzlies,Los Angeles Lakers,1
2021,Memphis Grizzlies,New Orleans Pelicans,1
2021,Memphis Grizzlies,San Antonio Spurs,1
2021,Atlanta Hawks,Sacramento Kings,1
2021,Atlanta Hawks,New York Knicks,1
2021,Atlanta Hawks,San Antonio Spurs,1
2021,Atlanta Hawks,Golden State Warriors,1
2021,Miami Heat,Toronto Raptors,1
2021,Miami Heat,Oklahoma City Thunder,1
2021,Charlotte Hornets,New Orleans Pelicans,1
2021,Charlotte Hornets,Detroit Pistons,1
2021,Charlotte Hornets,Minnesota Timberwolves,1
2021,Charlotte Hornets,Washington Wizards,1
2021,Utah Jazz,Brooklyn Nets,1
2021,Utah Jazz,San Antonio Spurs,1
2021,Utah Jazz,Golden State Warriors,1
2021,Sacramento Kings,Dallas Mavericks,1
2021,Sacramento Kings,Indiana Pacers,1
2021,Sacramento Kings,Detroit Pistons,1
2021,New York Knicks,Los Angeles Lakers,1
2021,Los Angeles Lakers,Orlando Magic,1
2021,Los Angeles Lakers,Brooklyn Nets,1
2021,Los Angeles Lakers,Indiana Pacers,1
2021,Los Angeles Lakers,San Antonio Spurs,1
2021,Los Angeles Lakers,Washington Wizards,1
2021,Dallas Mavericks,Houston Rockets,1
2021,Dallas Mavericks,Washington Wizards,1
2021,Brooklyn Nets,Detroit Pistons,1
2021,Brooklyn Nets,Houston Rockets,1
2021,Brooklyn Nets,San Antonio Spurs,1
2021,Brooklyn Nets,Phoenix Suns,1
2021,Brooklyn Nets,Washington Wizards,1
2021,Denver Nuggets,Detroit Pistons,1
2021,Denver Nuggets,San Antonio Spurs,1
2021,Denver Nuggets,Oklahoma City Thunder,1
2021,Indiana Pacers,Phoenix Suns,1
2021,Indiana Pacers,Minnesota Timberwolves,1
2021,Indiana Pacers,Washington Wizards,1
2021,Toronto Raptors,San Antonio Spurs,1
2021,Houston Rockets,Oklahoma City Thunder,1
2021,Houston Rockets,Minnesota Timberwolves,1
2021,San Antonio Spurs,Washington Wizards,1
2021,Phoenix Suns,Washington Wizards,1
2022,Portland Trail Blazers,Detroit Pistons,2
2022,Utah Jazz,Los Angeles Lakers,2
2022,Utah Jazz,Minnesota Timberwolves,2
2022,New York Knicks,Detroit Pistons,2
2022,Los Angeles Lakers,Denver Nuggets,2
2022,Indiana Pacers,Phoenix Suns,2
2022,Philadelphia 76ers,Portland Trail Blazers,1
2022,Philadelphia 76ers,Charlotte Hornets,1
2022,Philadelphia 76ers,New York Knicks,1
2022,Portland Trail Blazers,Atlanta Hawks,1
2022,Portland Trail Blazers,Charlotte Hornets,1
2022,Portland Trail Blazers,New York Knicks,1
2022,Portland Trail Blazers,Denver Nuggets,1
2022,Portland Trail Blazers,Golden State Warriors,1
2022,Milwaukee Bucks,Orlando Magic,1
2022,Milwaukee Bucks,Brooklyn Nets,1
2022,Milwaukee Bucks,Indiana Pacers,1
2022,Milwaukee Bucks,Phoenix Suns,1
2022,Chicago Bulls,Washington Wizards,1
2022,Cleveland Cavaliers,Utah Jazz,1
2022,Boston Celtics,Memphis Grizzlies,1
2022,Boston Celtics,Atlanta Hawks,1
2022,Boston Celtics,Charlotte Hornets,1
2022,Boston Celtics,Sacramento Kings,1
2022,Boston Celtics,Indiana Pacers,1
2022,Boston Celtics,Detroit Pistons,1
2022,Boston Celtics,San Antonio Spurs,1
2022,Boston Celtics,Oklahoma City Thunder,1
2022,Boston Celtics,Washington Wizards,1
2022,Los Angeles Clippers,Memphis Grizzlies,1
2022,Los Angeles Clippers,Charlotte Hornets,1
2022,Los Angeles Clippers,Los Angeles Lakers,1
2022,Los Angeles Clippers,Orlando Magic,1
2022,Los Angeles Clippers,Denver Nuggets,1
2022,Los Angeles Clippers,Houston Rockets,1
2022,Memphis Grizzlies,Houston Rockets,1
2022,Memphis Grizzlies,Washington Wizards,1
2022,Atlanta Hawks,Sacramento Kings,1
2022,Atlanta Hawks,Detroit Pistons,1
2022,Atlanta Hawks,Houston Rockets,1
2022,Atlanta Hawks,Phoenix Suns,1
2022,Atlanta Hawks,Oklahoma City Thunder,1
2022,Atlanta Hawks,Golden State Warriors,1
2022,Miami Heat,San Antonio Spurs,1
2022,Charlotte Hornets,New York Knicks,1
2022,Utah Jazz,Detroit Pistons,1
2022,Sacramento Kings,Brooklyn Nets,1
2022,Los Angeles Lakers,Orlando Magic,1
2022,Los Angeles Lakers,Indiana Pacers,1
2022,Los Angeles Lakers,Oklahoma City Thunder,1
2022,Los Angeles Lakers,Minnesota Timberwolves,1
2022,Los Angeles Lakers,Washington Wizards,1
2022,Orlando Magic,Denver Nuggets,1
2022,Dallas Mavericks,Brooklyn Nets,1
2022,Brooklyn Nets,Indiana Pacers,1
2022,Brooklyn Nets,Phoenix Suns,1
2022,Denver Nuggets,Indiana Pacers,1
2022,Denver Nuggets,Oklahoma City Thunder,1
2022,Denver Nuggets,Washington Wizards,1
2022,Indiana Pacers,Oklahoma City Thunder,1
2022,Indiana Pacers,Washington Wizards,1
2022,New Orleans Pelicans,San Antonio Spurs,1
2022,Detroit Pistons,Golden State Warriors,1
2022,Toronto Raptors,San Antonio Spurs,1
2022,Houston Rockets,Oklahoma City Thunder,1
2022,San Antonio Spurs,Minnesota Timberwolves,1
2022,Phoenix Suns,Oklahoma City Thunder,1
2022,Phoenix Suns,Washington Wizards,1
2022,Golden State Warriors,Washington Wizards,1
2023,Portland Trail Blazers,Boston Celtics,2
2023,Los Angeles Clippers,Oklahoma City Thunder,2
2023,Memphis Grizzlies,Houston Rockets,2
2023,Memphis Grizzlies,Phoenix Suns,2
2023,Atlanta Hawks,Houston Rockets,2
2023,Atlanta Hawks,Oklahoma City Thunder,2
2023,Dallas Mavericks,Oklahoma City Thunder,2
2023,Brooklyn Nets,Houston Rockets,2
2023,Detroit Pistons,Washington Wizards,2
2023,Houston Rockets,Oklahoma City Thunder,2
2023,Philadelphia 76ers,Milwaukee Bucks,1
2023,Philadelphia 76ers,Boston Celtics,1
2023,Philadelphia 76ers,Los Angeles Clippers,1
2023,Philadelphia 76ers,Indiana Pacers,1
2023,Philadelphia 76ers,Detroit Pistons,1
2023,Philadelphia 76ers,San Antonio Spurs,1
2023,Philadelphia 76ers,Oklahoma City Thunder,1
2023,Portland Trail Blazers,Milwaukee Bucks,1
2023,Portland Trail Blazers,New York Knicks,1
2023,Portland Trail Blazers,Phoenix Suns,1
2023,Portland Trail Blazers,Oklahoma City Thunder,1
2023,Milwaukee Bucks,Sacramento Kings,1
2023,Milwaukee Bucks,Phoenix Suns,1
2023,Chicago Bulls,Oklahoma City Thunder,1
2023,Cleveland Cavaliers,Miami Heat,1
2023,Cleveland Cavaliers,Utah Jazz,1
2023,Cleveland Cavaliers,San Antonio Spurs,1
2023,Boston Celtics,Memphis Grizzlies,1
2023,Boston Celtics,Dallas Mavericks,1
2023,Boston Celtics,San Antonio Spurs,1
2023,Los Angeles Clippers,Memphis Grizzlies,1
2023,Los Angeles Clippers,Atlanta Hawks,1
2023,Los Angeles Clippers,Sacramento Kings,1
2023,Los Angeles Clippers,Denver Nuggets,1
2023,Los Angeles Clippers,Detroit Pistons,1
2023,Los Angeles Clippers,Houston Rockets,1
2023,Memphis Grizzlies,Atlanta Hawks,1
2023,Memphis Grizzlies,Brooklyn Nets,1
2023,Memphis Grizzlies,Oklahoma City Thunder,1
2023,Atlanta Hawks,Miami Heat,1
2023,Atlanta Hawks,Utah Jazz,1
2023,Miami Heat,Charlotte Hornets,1
2023,Miami Heat,Houston Rockets,1
2023,Miami Heat,San Antonio Spurs,1
2023,Miami Heat,Oklahoma City Thunder,1
2023,Charlotte Hornets,Dallas Mavericks,1
2023,Charlotte Hornets,Oklahoma City Thunder,1
2023,Utah Jazz,Detroit Pistons,1
2023,Utah Jazz,Toronto Raptors,1
2023,Sacramento Kings,Dallas Mavericks,1
2023,Sacramento Kings,Indiana Pacers,1
2023,Sacramento Kings,Toronto Raptors,1
2023,New York Knicks,Dallas Mavericks,1
2023,New York Knicks,Indiana Pacers,1
2023,New York Knicks,Detroit Pistons,1
2023,New York Knicks,Toronto Raptors,1
2023,New York Knicks,Phoenix Suns,1
2023,New York Knicks,Washington Wizards,1
2023,Orlando Magic,New Orleans Pelicans,1
2023,Orlando Magic,Phoenix Suns,1
2023,Dallas Mavericks,San Antonio Spurs,1
2023,Dallas Mavericks,Washington Wizards,1
2023,Brooklyn Nets,Detroit Pistons,1
2023,Brooklyn Nets,Toronto Raptors,1
2023,Brooklyn Nets,Phoenix Suns,1
2023,Denver Nuggets,Phoenix Suns,1
2023,Indiana Pacers,New Orleans Pelicans,1
2023,Indiana Pacers,Toronto Raptors,1
2023,Indiana Pacers,San Antonio Spurs,1
2023,Indiana Pacers,Golden State Warriors,1
2023,New Orleans Pelicans,Toronto Raptors,1
2023,Detroit Pistons,Minnesota Timberwolves,1
2023,San Antonio Spurs,Phoenix Suns,1
2023,San Antonio Spurs,Minnesota Timberwolves,1
2023,Oklahoma City Thunder,Golden State Warriors,1
2023,Golden State Warriors,Washington Wizards,1
2024,Charlotte Hornets,Phoenix Suns,3
2024,Sacramento Kings,San Antonio Spurs,3
2024,Philadelphia 76ers,Dallas Mavericks,2
2024,Chicago Bulls,Sacramento Kings,2
2024,Chicago Bulls,San Antonio Spurs,2
2024,Los Angeles Clippers,Utah Jazz,2
2024,Atlanta Hawks,New Orleans Pelicans,2
2024,Charlotte Hornets,Minnesota Timberwolves,2
2024,Sacramento Kings,Washington Wizards,2
2024,Detroit Pistons,Toronto Raptors,2
2024,Philadelphia 76ers,Charlotte Hornets,1
2024,Philadelphia 76ers,Denver Nuggets,1
2024,Philadelphia 76ers,Detroit Pistons,1
2024,Philadelphia 76ers,Minnesota Timberwolves,1
2024,Philadelphia 76ers,Golden State Warriors,1
2024,Philadelphia 76ers,Washington Wizards,1
2024,Portland Trail Blazers,Memphis Grizzlies,1
2024,Portland Trail Blazers,Golden State Warriors,1
2024,Portland Trail Blazers,Washington Wizards,1
2024,Milwaukee Bucks,Los Angeles Clippers,1
2024,Milwaukee Bucks,New York Knicks,1
2024,Milwaukee Bucks,San Antonio Spurs,1
2024,Milwaukee Bucks,Washington Wizards,1
2024,Cleveland Cavaliers,Atlanta Hawks,1
2024,Boston Celtics,Orlando Magic,1
2024,Boston Celtics,Houston Rockets,1
2024,Los Angeles Clippers,Atlanta Hawks,1
2024,Los Angeles Clippers,New York Knicks,1
2024,Memphis Grizzlies,Sacramento Kings,1
2024,Memphis Grizzlies,Orlando Magic,1
2024,Memphis Grizzlies,Brooklyn Nets,1
2024,Memphis Grizzlies,Detroit Pistons,1
2024,Memphis Grizzlies,Toronto Raptors,1
2024,Memphis Grizzlies,Minnesota Timberwolves,1
2024,Memphis Grizzlies,Washington Wizards,1
2024,Atlanta Hawks,Houston Rockets,1
2024,Atlanta Hawks,Phoenix Suns,1
2024,Miami Heat,Utah Jazz,1
2024,Miami Heat,Indiana Pacers,1
2024,Miami Heat,Detroit Pistons,1
2024,Miami Heat,Toronto Raptors,1
2024,Miami Heat,Golden State Warriors,1
2024,Charlotte Hornets,Utah Jazz,1
2024,Charlotte Hornets,New York Knicks,1
2024,Charlotte Hornets,Dallas Mavericks,1
2024,Charlotte Hornets,Denver Nuggets,1
2024,Charlotte Hornets,San Antonio Spurs,1
2024,Charlotte Hornets,Oklahoma City Thunder,1
2024,Charlotte Hornets,Golden State Warriors,1
2024,Utah Jazz,Los Angeles Lakers,1
2024,Utah Jazz,Dallas Mavericks,1
2024,Utah Jazz,Detroit Pistons,1
2024,Utah Jazz,Toronto Raptors,1
2024,Utah Jazz,Phoenix Suns,1
2024,Utah Jazz,Golden State Warriors,1
2024,Utah Jazz,Washington Wizards,1
2024,Sacramento Kings,Oklahoma City Thunder,1
2024,New York Knicks,Brooklyn Nets,1
2024,New York Knicks,San Antonio Spurs,1
2024,New York Knicks,Oklahoma City Thunder,1
2024,New York Knicks,Minnesota Timberwolves,1
2024,New York Knicks,Washington Wizards,1
2024,Los Angeles Lakers,Dallas Mavericks,1
2024,Los Angeles Lakers,Brooklyn Nets,1
2024,Dallas Mavericks,Denver Nuggets,1
2024,Dallas Mavericks,Detroit Pistons,1
2024,Dallas Mavericks,Minnesota Timberwolves,1
2024,Dallas Mavericks,Golden State Warriors,1
2024,Brooklyn Nets,Golden State Warriors,1
2024,Denver Nuggets,Minnesota Timberwolves,1
2024,Denver Nuggets,Golden State Warriors,1
2024,Indiana Pacers,New Orleans Pelicans,1
2024,Indiana Pacers,Toronto Raptors,1
2024,Indiana Pacers,San Antonio Spurs,1
2024,New Orleans Pelicans,Toronto Raptors,1
2024,New Orleans Pelicans,Oklahoma City Thunder,1
2024,New Orleans Pelicans,Washington Wizards,1
2024,Detroit Pistons,Minnesota Timberwolves,1
2024,Detroit Pistons,Golden State Warriors,1
2024,Toronto Raptors,Minnesota Timberwolves,1
2024,Toronto Raptors,Golden State Warriors,1
2024,San Antonio Spurs,Washington Wizards,1
2024,Oklahoma City Thunder,Washington Wizards,1
2024,Minnesota Timberwolves,Golden State Warriors,1
2025,Atlanta Hawks,Brooklyn Nets,3
2025,Atlanta Hawks,Minnesota Timberwolves,2
2025,Portland Trail Blazers,Boston Celtics,1
2025,Milwaukee Bucks,Phoenix Suns,1
2025,Chicago Bulls,Cleveland Cavaliers,1
2025,Chicago Bulls,Los Angeles Lakers,1
2025,Boston Celtics,Atlanta Hawks,1
2025,Boston Celtics,Brooklyn Nets,1
2025,Boston Celtics,Utah Jazz,1
2025,Los Angeles Clippers,Miami Heat,1
2025,Los Angeles Clippers,Utah Jazz,1
2025,Memphis Grizzlies,Indiana Pacers,1
2025,Memphis Grizzlies,Golden State Warriors,1
2025,Atlanta Hawks,Los Angeles Lakers,1
2025,Atlanta Hawks,Houston Rockets,1
2025,Atlanta Hawks,Phoenix Suns,1
2025,Atlanta Hawks,Golden State Warriors,1
2025,Miami Heat,Utah Jazz,1
2025,Miami Heat,Detroit Pistons,1
2025,Miami Heat,Brooklyn Nets,1
2025,Sacramento Kings,Denver Nuggets,1
2025,Sacramento Kings,Detroit Pistons,1
2025,Los Angeles Lakers,Brooklyn Nets,1
2025,Los Angeles Lakers,Houston Rockets,1
2025,Los Angeles Lakers,Phoenix Suns,1
2025,Los Angeles Lakers,Minnesota Timberwolves,1
2025,Los Angeles Lakers,Golden State Warriors,1
2025,Brooklyn Nets,Denver Nuggets,1
2025,Brooklyn Nets,Houston Rockets,1
2025,Brooklyn Nets,Phoenix Suns,1
2025,Brooklyn Nets,Minnesota Timberwolves,1
2025,Brooklyn Nets,Golden State Warriors,1
2025,Indiana Pacers,San Antonio Spurs,1
2025,New Orleans Pelicans,Houston Rockets,1
2025,New Orleans Pelicans,Washington Wizards,1
2025,Houston Rockets,Phoenix Suns,1
2025,Houston Rockets,Minnesota Timberwolves,1
2025,Houston Rockets,Golden State Warriors,1
2025,Houston Rockets,Washington Wizards,1
2025,San Antonio Spurs,Washington Wizards,1
2025,Phoenix Suns,Minnesota Timberwolves,1
2025,Phoenix Suns,Golden State Warriors,1
2025,Minnesota Timberwolves,Golden State Warriors,1
