Season,Team,TradeCount
2010,Minnesota Timberwolves,10
2010,Charlotte Hornets,9
2010,Houston Rockets,8
2010,Brooklyn Nets,7
2010,Toronto Raptors,7
2010,Chicago Bulls,6
2010,Cleveland Cavaliers,6
2010,Sacramento Kings,6
2010,Phoenix Suns,6
2010,New York Knicks,5
2010,Golden State Warriors,5
2010,Portland Trail Blazers,4
2010,Boston Celtics,4
2010,Miami Heat,4
2010,Milwaukee Bucks,3
2010,Utah Jazz,3
2010,Dallas Mavericks,3
2010,Denver Nuggets,3
2010,Oklahoma City Thunder,3
2010,Washington Wizards,3
2010,Atlanta Hawks,2
2010,Los Angeles Lakers,2
2010,Orlando Magic,2
2010,Indiana Pacers,2
2010,San Antonio Spurs,2
2010,Philadelphia 76ers,1
2010,Los Angeles Clippers,1
2010,Memphis Grizzlies,1
2011,Dallas Mavericks,6
2011,Houston Rockets,5
2011,Philadelphia 76ers,4
2011,Charlotte Hornets,4
2011,Los Angeles Lakers,4
2011,Brooklyn Nets,4
2011,Golden State Warriors,4
2011,Portland Trail Blazers,3
2011,Milwaukee Bucks,3
2011,Los Angeles Clippers,3
2011,Memphis Grizzlies,3
2011,Indiana Pacers,3
2011,Washington Wizards,3
2011,Cleveland Cavaliers,2
2011,Boston Celtics,2
2011,Utah Jazz,2
2011,Denver Nuggets,2
2011,Oklahoma City Thunder,2
2011,Minnesota Timberwolves,2
2011,Atlanta Hawks,1
2011,Miami Heat,1
2011,Sacramento Kings,1
2011,New York Knicks,1
2011,Orlando Magic,1
2011,Detroit Pistons,1
2011,Toronto Raptors,1
2011,San Antonio Spurs,1
2012,Atlanta Hawks,9
2012,Philadelphia 76ers,6
2012,Memphis Grizzlies,6
2012,Houston Rockets,6
2012,Golden State Warriors,6
2012,Portland Trail Blazers,5
2012,Charlotte Hornets,5
2012,Dallas Mavericks,5
2012,Phoenix Suns,5
2012,Oklahoma City Thunder,5
2012,Minnesota Timberwolves,5
2012,Boston Celtics,4
2012,Utah Jazz,4
2012,Orlando Magic,4
2012,Toronto Raptors,4
2012,Cleveland Cavaliers,3
2012,New York Knicks,3
2012,Denver Nuggets,3
2012,Milwaukee Bucks,2
2012,Los Angeles Clippers,2
2012,Miami Heat,2
2012,Sacramento Kings,2
2012,Los Angeles Lakers,2
2012,Brooklyn Nets,2
2012,Indiana Pacers,2
2012,Washington Wizards,2
2012,Chicago Bulls,1
2012,Detroit Pistons,1
2013,Philadelphia 76ers,11
2013,Milwaukee Bucks,7
2013,Brooklyn Nets,7
2013,Sacramento Kings,6
2013,Memphis Grizzlies,5
2013,Toronto Raptors,5
2013,Boston Celtics,4
2013,Denver Nuggets,4
2013,New Orleans Pelicans,4
2013,Houston Rockets,4
2013,Phoenix Suns,4
2013,Minnesota Timberwolves,4
2013,Chicago Bulls,3
2013,Los Angeles Clippers,3
2013,Atlanta Hawks,3
2013,Miami Heat,3
2013,New York Knicks,3
2013,Indiana Pacers,3
2013,Oklahoma City Thunder,3
2013,Golden State Warriors,3
2013,Washington Wizards,3
2013,Portland Trail Blazers,2
2013,Cleveland Cavaliers,2
2013,Charlotte Hornets,2
2013,Utah Jazz,2
2013,Los Angeles Lakers,2
2013,Orlando Magic,2
2013,Dallas Mavericks,2
2013,San Antonio Spurs,2
2013,Detroit Pistons,1
2014,Philadelphia 76ers,12
2014,Boston Celtics,11
2014,Cleveland Cavaliers,10
2014,Charlotte Hornets,8
2014,Phoenix Suns,8
2014,New Orleans Pelicans,7
2014,Oklahoma City Thunder,7
2014,New York Knicks,6
2014,Brooklyn Nets,6
2014,Houston Rockets,6
2014,Minnesota Timberwolves,6
2014,Los Angeles Clippers,5
2014,Detroit Pistons,5
2014,Washington Wizards,5
2014,Portland Trail Blazers,4
2014,Milwaukee Bucks,4
2014,Memphis Grizzlies,4
2014,Utah Jazz,4
2014,Sacramento Kings,4
2014,Denver Nuggets,4
2014,Atlanta Hawks,3
2014,Dallas Mavericks,3
2014,Toronto Raptors,3
2014,Chicago Bulls,2
2014,Orlando Magic,2
2014,Miami Heat,1
2014,Los Angeles Lakers,1
2015,Orlando Magic,9
2015,Miami Heat,6
2015,Portland Trail Blazers,5
2015,Cleveland Cavaliers,5
2015,Detroit Pistons,5
2015,Boston Celtics,4
2015,Memphis Grizzlies,4
2015,Oklahoma City Thunder,4
2015,Philadelphia 76ers,3
2015,Milwaukee Bucks,3
2015,Chicago Bulls,3
2015,Los Angeles Clippers,3
2015,Atlanta Hawks,3
2015,Sacramento Kings,3
2015,Denver Nuggets,3
2015,Indiana Pacers,3
2015,New Orleans Pelicans,3
2015,Phoenix Suns,3
2015,Golden State Warriors,3
2015,Utah Jazz,2
2015,New York Knicks,2
2015,Brooklyn Nets,2
2015,Houston Rockets,2
2015,San Antonio Spurs,2
2015,Washington Wizards,2
2015,Charlotte Hornets,1
2015,Los Angeles Lakers,1
2015,Dallas Mavericks,1
2015,Minnesota Timberwolves,1
2016,Houston Rockets,12
2016,Philadelphia 76ers,8
2016,Atlanta Hawks,7
2016,Utah Jazz,7
2016,Milwaukee Bucks,6
2016,Chicago Bulls,6
2016,Cleveland Cavaliers,6
2016,Charlotte Hornets,6
2016,Portland Trail Blazers,5
2016,Los Angeles Lakers,5
2016,Orlando Magic,5
2016,Dallas Mavericks,5
2016,Denver Nuggets,5
2016,New Orleans Pelicans,5
2016,Brooklyn Nets,4
2016,Indiana Pacers,4
2016,Los Angeles Clippers,3
2016,Memphis Grizzlies,3
2016,Sacramento Kings,3
2016,Oklahoma City Thunder,3
2016,Washington Wizards,3
2016,Toronto Raptors,2
2016,Phoenix Suns,2
2016,Minnesota Timberwolves,2
2016,Golden State Warriors,2
2016,Boston Celtics,1
2016,Miami Heat,1
2016,Detroit Pistons,1
2016,San Antonio Spurs,1
2017,Atlanta Hawks,7
2017,Philadelphia 76ers,6
2017,Los Angeles Clippers,6
2017,Cleveland Cavaliers,5
2017,Brooklyn Nets,5
2017,Detroit Pistons,5
2017,Chicago Bulls,4
2017,Dallas Mavericks,4
2017,Phoenix Suns,4
2017,Portland Trail Blazers,3
2017,Milwaukee Bucks,3
2017,Miami Heat,3
2017,Charlotte Hornets,3
2017,Sacramento Kings,3
2017,New York Knicks,3
2017,Denver Nuggets,3
2017,New Orleans Pelicans,3
2017,Toronto Raptors,3
2017,Boston Celtics,2
2017,Memphis Grizzlies,2
2017,Utah Jazz,2
2017,Orlando Magic,2
2017,Indiana Pacers,2
2017,Oklahoma City Thunder,2
2017,Washington Wizards,2
2017,Los Angeles Lakers,1
2017,Houston Rockets,1
2018,Philadelphia 76ers,11
2018,Washington Wizards,8
2018,Los Angeles Clippers,7
2018,Atlanta Hawks,7
2018,Houston Rockets,7
2018,Chicago Bulls,6
2018,Cleveland Cavaliers,6
2018,Memphis Grizzlies,6
2018,Brooklyn Nets,6
2018,Sacramento Kings,5
2018,Orlando Magic,5
2018,Dallas Mavericks,5
2018,Detroit Pistons,5
2018,Phoenix Suns,5
2018,Oklahoma City Thunder,5
2018,Milwaukee Bucks,4
2018,Los Angeles Lakers,4
2018,New Orleans Pelicans,4
2018,Toronto Raptors,4
2018,Portland Trail Blazers,3
2018,Boston Celtics,3
2018,Miami Heat,3
2018,Charlotte Hornets,3
2018,Denver Nuggets,3
2018,Golden State Warriors,3
2018,Utah Jazz,2
2018,New York Knicks,2
2018,Indiana Pacers,2
2018,San Antonio Spurs,1
2018,Minnesota Timberwolves,1
2019,Atlanta Hawks,10
2019,Memphis Grizzlies,9
2019,Minnesota Timberwolves,7
2019,Golden State Warriors,7
2019,Washington Wizards,6
2019,Philadelphia 76ers,5
2019,Oklahoma City Thunder,5
2019,Portland Trail Blazers,4
2019,Los Angeles Clippers,4
2019,Phoenix Suns,4
2019,Miami Heat,3
2019,Utah Jazz,3
2019,Dallas Mavericks,3
2019,Brooklyn Nets,3
2019,Denver Nuggets,3
2019,New Orleans Pelicans,3
2019,Houston Rockets,3
2019,Cleveland Cavaliers,2
2019,Boston Celtics,2
2019,Sacramento Kings,2
2019,Indiana Pacers,2
2019,Detroit Pistons,2
2019,Milwaukee Bucks,1
2019,Chicago Bulls,1
2019,Charlotte Hornets,1
2019,New York Knicks,1
2019,Los Angeles Lakers,1
2019,Orlando Magic,1
2019,San Antonio Spurs,1
2020,Oklahoma City Thunder,15
2020,Detroit Pistons,10
2020,Houston Rockets,9
2020,New York Knicks,7
2020,Cleveland Cavaliers,6
2020,Boston Celtics,6
2020,Utah Jazz,6
2020,Sacramento Kings,6
2020,Milwaukee Bucks,5
2020,Philadelphia 76ers,4
2020,Los Angeles Clippers,4
2020,Orlando Magic,4
2020,Denver Nuggets,4
2020,New Orleans Pelicans,4
2020,Portland Trail Blazers,3
2020,Atlanta Hawks,3
2020,Miami Heat,3
2020,Charlotte Hornets,3
2020,Dallas Mavericks,3
2020,Toronto Raptors,3
2020,Minnesota Timberwolves,3
2020,Golden State Warriors,3
2020,Washington Wizards,3
2020,Chicago Bulls,2
2020,Memphis Grizzlies,2
2020,Los Angeles Lakers,2
2020,Brooklyn Nets,2
2020,Indiana Pacers,2
2020,Phoenix Suns,2
2020,San Antonio Spurs,1
2021,Memphis Grizzlies,10
2021,Indiana Pacers,9
2021,San Antonio Spurs,9
2021,Boston Celtics,8
2021,New York Knicks,8
2021,Brooklyn Nets,7
2021,Oklahoma City Thunder,7
2021,Los Angeles Clippers,6
2021,Charlotte Hornets,6
2021,Utah Jazz,6
2021,New Orleans Pelicans,6
2021,Houston Rockets,6
2021,Minnesota Timberwolves,6
2021,Portland Trail Blazers,5
2021,Cleveland Cavaliers,5
2021,Sacramento Kings,5
2021,Milwaukee Bucks,4
2021,Chicago Bulls,4
2021,Atlanta Hawks,4
2021,Los Angeles Lakers,4
2021,Dallas Mavericks,4
2021,Detroit Pistons,4
2021,Washington Wizards,4
2021,Philadelphia 76ers,3
2021,Orlando Magic,3
2021,Denver Nuggets,3
2021,Phoenix Suns,3
2021,Miami Heat,2
2021,Toronto Raptors,2
2021,Golden State Warriors,2
2022,Boston Celtics,8
2022,Atlanta Hawks,6
2022,Detroit Pistons,6
2022,Washington Wizards,6
2022,Utah Jazz,5
2022,Los Angeles Lakers,5
2022,San Antonio Spurs,5
2022,Portland Trail Blazers,4
2022,Denver Nuggets,4
2022,Indiana Pacers,4
2022,Phoenix Suns,4
2022,Oklahoma City Thunder,4
2022,Los Angeles Clippers,3
2022,Charlotte Hornets,3
2022,Sacramento Kings,3
2022,New York Knicks,3
2022,Brooklyn Nets,3
2022,Houston Rockets,3
2022,Minnesota Timberwolves,3
2022,Milwaukee Bucks,2
2022,Memphis Grizzlies,2
2022,Orlando Magic,2
2022,Golden State Warriors,2
2022,Philadelphia 76ers,1
2022,Chicago Bulls,1
2022,Cleveland Cavaliers,1
2022,Miami Heat,1
2022,Dallas Mavericks,1
2022,New Orleans Pelicans,1
2022,Toronto Raptors,1
2023,Oklahoma City Thunder,11
2023,Detroit Pistons,8
2023,New York Knicks,7
2023,Dallas Mavericks,7
2023,Phoenix Suns,7
2023,Houston Rockets,6
2023,Philadelphia 76ers,5
2023,Portland Trail Blazers,5
2023,Boston Celtics,5
2023,Los Angeles Clippers,5
2023,Memphis Grizzlies,5
2023,Sacramento Kings,5
2023,Brooklyn Nets,5
2023,Indiana Pacers,5
2023,Toronto Raptors,5
2023,San Antonio Spurs,5
2023,Washington Wizards,5
2023,Atlanta Hawks,4
2023,Miami Heat,4
2023,Utah Jazz,4
2023,Milwaukee Bucks,3
2023,Charlotte Hornets,3
2023,Golden State Warriors,3
2023,Cleveland Cavaliers,2
2023,Orlando Magic,2
2023,Denver Nuggets,2
2023,New Orleans Pelicans,2
2023,Minnesota Timberwolves,2
2023,Chicago Bulls,1
2024,Charlotte Hornets,8
2024,Washington Wizards,8
2024,Utah Jazz,7
2024,Atlanta Hawks,6
2024,Sacramento Kings,6
2024,New Orleans Pelicans,6
2024,San Antonio Spurs,6
2024,Los Angeles Clippers,5
2024,Memphis Grizzlies,5
2024,New York Knicks,5
2024,Phoenix Suns,5
2024,Oklahoma City Thunder,5
2024,Philadelphia 76ers,4
2024,Dallas Mavericks,4
2024,Brooklyn Nets,4
2024,Indiana Pacers,4
2024,Detroit Pistons,4
2024,Toronto Raptors,4
2024,Golden State Warriors,4
2024,Portland Trail Blazers,3
2024,Minnesota Timberwolves,3
2024,Milwaukee Bucks,2
2024,Chicago Bulls,2
2024,Boston Celtics,2
2024,Miami Heat,2
2024,Los Angeles Lakers,2
2024,Orlando Magic,2
2024,Houston Rockets,2
2024,Cleveland Cavaliers,1
2024,Denver Nuggets,1
2025,Chicago Bulls,3
2025,Atlanta Hawks,4
2025,Brooklyn Nets,4
2025,Boston Celtics,3
2025,Memphis Grizzlies,2
2025,Miami Heat,3
2025,Sacramento Kings,2
2025,Denver Nuggets,2
2025,Indiana Pacers,2
2025,Detroit Pistons,2
2025,Houston Rockets,2
2025,San Antonio Spurs,2
2025,Phoenix Suns,2
2025,Minnesota Timberwolves,2
2025,Golden State Warriors,2
2025,Washington Wizards,2
2025,Portland Trail Blazers,1
2025,Milwaukee Bucks,1
2025,Cleveland Cavaliers,1
2025,Los Angeles Clippers,1
2025,Utah Jazz,2
2025,Los Angeles Lakers,1
2025,New Orleans Pelicans,1
